Course Number	Course Name	Students Name	Student ID	Email	Address
CS 4143	Computer Graphics	Jennifer Norman, Tyana	A652584	tjnorman@okstate.edu	9721 S. San Pablo Dr.Oklahoma City, OK 73120
CS 4243	Introduction to Computer Security	Abreu, Yasmin	A546533	yabreu@okstate.edu	7 Airport CourtOklahoma City, OK 73141
CS 3363	Organization of Programming Languages	Natali Wicks, Shae	A772561	snwicks@okstate.edu	437 Summer St.Oklahoma City, OK 73108
CS 4153	Mobile Applications Development	Bland, Alexzander	A218513	abland@okstate.edu	8708 Richardson Ave.Oklahoma City, OK 73162
CS 4523	Cloud Computing and Distributed Systems	Burgess, Corrina	A310320	cburgess@okstate.edu	8875 SW. Tunnel StreetOklahoma City, OK 73112
MATH 2163	Calculus III	Kenneth Newsom, Dion	A386943	dknewsom@okstate.edu	237 Marsh Ave.Oklahoma City, OK 73110
CS 4373	Agile Software Development	Broughton, Keyon	A262027	kbroughton@okstate.edu	2 Delaware Ave.Oklahoma City, OK 73122
CS 4283	Computer Networks	Zavier Hollins, Oswaldo	A273078	ozhollins@okstate.edu	69 North St.Oklahoma City, OK 73127
CS 4283	Computer Networks	Guillen, Arjun	A529993	aguillen@okstate.edu	9270 Ridgeview Ave.Harrah, OK 73045
CS 3513	Numerical Methods for Digital Computers	Castro, Markel	A196289	mcastro@okstate.edu	7094 Nicolls AvenueOklahoma City, OK 73142
CS 3513	Numerical Methods for Digital Computers	Malley, Gemma	A115694	gmalley@okstate.edu	56 Mechanic DriveEdmond, OK 73025
CS 4883	Social Issues in Computing	Rhea Muniz, Dajah	A215573	drmuniz@okstate.edu	7500 Leatherwood St.Oklahoma City, OK 73105
CS 4433	Introduction to Database Systems	Constance Arnett, Kirstin	A915341	kcarnett@okstate.edu	8484 Ridgeview StreetOklahoma City, OK 73159
CS 4173	Video Game Development	Aaron Garay, Theo	A470000	tagaray@okstate.edu	891 Main Ave.Oklahoma City, OK 73131
CS 4273	Software Engineering	Jazmyne Coker, Ashly	A894802	ajcoker@okstate.edu	495 Temple LaneOklahoma City, OK 73106
CS 4433	Introduction to Database Systems	Mackenzie, Annabel	A942077	amackenzie@okstate.edu	749 North Cherry St.Edmond, OK 73034
CS 3653	Discrete Mathematics for Computer Science	Peek, Jean	A924475	jpeek@okstate.edu	8812 Roberts Dr.Oklahoma City, OK 73119
CS 2433	C/C++ Programming	Frick, Bryon	A305012	bfrick@okstate.edu	7101 Overlook St.Oklahoma City, OK 73118
CS 3443	Computer Systems	Pearl Hull, Makaila	A910099	mphull@okstate.edu	7691 E. Forest St.Oklahoma City, OK 73115
CS 4883	Social Issues in Computing	Trent, Ty	A835587	ttrent@okstate.edu	8774 E. Alderwood Ave.Oklahoma City, OK 73179
CS 4993	Senior Honors Project	Allard, Dillan	A402436	dallard@okstate.edu	7706 Henry StreetChoctaw, OK 73020
CS 4433	Introduction to Database Systems	Dillon Boone, Bryant	A821359	bdboone@okstate.edu	901 North Market StreetOklahoma City, OK 73141
CS 4523	Cloud Computing and Distributed Systems	Barbosa, Daveon	A969720	dbarbosa@okstate.edu	7952 Miles CourtOklahoma City, OK 73103
CS 4983	Senior Capstone Project	Breen, Daylon	A388229	dbreen@okstate.edu	9609 Country Club St.Bethany, OK 73008
CS 4243	Introduction to Computer Security	Brook Chiu, Julieta	A972550	jbchiu@okstate.edu	8383 N. Livingston St.Oklahoma City, OK 73145
CS 4153	Mobile Applications Development	Ashlin Weldon, Cecilia	A952687	caweldon@okstate.edu	21 Chestnut St.Luther, OK 73054
CS 4273	Software Engineering	McCarter, Garrett	A926894	gmccarter@okstate.edu	373 NE. Church AvenueOklahoma City, OK 73111
CS 4153	Mobile Applications Development	Daria Strauss, Princess	A546509	pdstrauss@okstate.edu	7132 York LaneEdmond, OK 73003
CS 3653	Discrete Mathematics for Computer Science	Kuykendall, Jordyn	A522254	jkuykendall@okstate.edu	959 Armstrong StreetEdmond, OK 73013
CS 4283	Computer Networks	Pantoja, Garrison	A129612	gpantoja@okstate.edu	8532 Franklin St.Oklahoma City, OK 73114
CS 3570	Special Problems in Computer Science	Elisha Vitale, Eli	A542917	eevitale@okstate.edu	627 Spring St.Spencer, OK 73084
CS 4183	Video Game Design	Michael, Kristal	A175100	kmichael@okstate.edu	345 Arcadia Rd.Oklahoma City, OK 73109
CS 4153	Mobile Applications Development	McNeil, Erykah	A524359	emcneil@okstate.edu	40 High Ridge CourtJones, OK 73049
CS 3613	Theoretical Foundations of Computing	Matteo Rosas, Aden	A566068	amrosas@okstate.edu	931 Smoky Hollow St.Oklahoma City, OK 73129
CS 4173	Video Game Development	Knudsen, Theodore	A629214	tknudsen@okstate.edu	8624 Gartner LaneOklahoma City, OK 73128
CS 4173	Video Game Development	Abril Tracy, Jolene	A337037	jatracy@okstate.edu	1 Newcastle Ave.Oklahoma City, OK 73121
CS 4993	Senior Honors Project	Reno, Kaylie	A305017	kreno@okstate.edu	850 Jones St.Oklahoma City, OK 73139
CS 3443	Computer Systems	Mcafee, Quinten	A974342	qmcafee@okstate.edu	8465 E. Glenholme LaneOklahoma City, OK 73107
CS 4283	Computer Networks	Hirsch, Bryn	A622853	bhirsch@okstate.edu	9520 Bridgeton Ave.Edmond, OK 73012
CS 3363	Organization of Programming Languages	Jacobson, Keeley	A492270	kjacobson@okstate.edu	436 Gulf LaneOklahoma City, OK 73173
CS 2433	C/C++ Programming	Jerimiah Epps, Jake	A989944	jjepps@okstate.edu	9252 Lafayette StreetOklahoma City, OK 73102
CS 3363	Organization of Programming Languages	Guerrero, Desire	A491813	dguerrero@okstate.edu	37 Bellevue StreetOklahoma City, OK 73150
CS 3613	Theoretical Foundations of Computing	Brady Huff, Francesco	A255517	fbhuff@okstate.edu	248 Green Lake Ave.Oklahoma City, OK 73120
CS 4783	Machine Learning	Ferguson, Kaila	A828287	kferguson@okstate.edu	7113 Sunbeam Ave.Oklahoma City, OK 73134
CS 3353	Data Structures and Algorithm Analysis I	Demers, Jonathan	A802317	jdemers@okstate.edu	563 Vine St.Oklahoma City, OK 73169
CS 3613	Theoretical Foundations of Computing	Mosier, Jeremy	A142731	jmosier@okstate.edu	1 Meadow St.Oklahoma City, OK 73130
CS 3353	Data Structures and Algorithm Analysis I	Spencer, Mikel	A670630	mspencer@okstate.edu	8027 North LaneOklahoma City, OK 73104
CS 4523	Cloud Computing and Distributed Systems	Dylan Beal, Johan	A149705	jdbeal@okstate.edu	8935 Kirkland St.Oklahoma City, OK 73117
CS 3613	Theoretical Foundations of Computing	Hernandez, Corrina	A916029	chernandez@okstate.edu	590 Lees Creek Rd.Oklahoma City, OK 73108
CS 4883	Social Issues in Computing	Hairston, Abagail	A560371	ahairston@okstate.edu	28 Hanover StreetOklahoma City, OK 73116
CS 4243	Introduction to Computer Security	Harold Pollard, Benito	A490777	bhpollard@okstate.edu	628 East Nicolls St.Arcadia, OK 73007
CS 4323	Design and Implementation of Operating Systems I	Teresa Proctor, Miya	A352159	mtproctor@okstate.edu	9770 Smith Store LaneOklahoma City, OK 73135
CS 4883	Social Issues in Computing	Kaitlin Helton, Katarina	A945191	kkhelton@okstate.edu	979 Foxrun Rd.Oklahoma City, OK 73132
CS 4993	Senior Honors Project	Paola England, Briana	A632931	bpengland@okstate.edu	7874 Lakeshore St.Oklahoma City, OK 73149
CS 3653	Discrete Mathematics for Computer Science	Miles Bowman, Marquise	A493599	mmbowman@okstate.edu	7 N. Rock Maple St.Oklahoma City, OK 73151
CS 4323	Design and Implementation of Operating Systems I	France, Yolanda	A397582	yfrance@okstate.edu	7421 South Essex StreetOklahoma City, OK 73130
CS 4983	Senior Capstone Project	Qualls, Kyle	A799883	kqualls@okstate.edu	7124 East Rock Creek Ave.Oklahoma City, OK 73118
CS 4783	Machine Learning	Colten Hand, Kayden	A726479	kchand@okstate.edu	7936 W. Chapel StreetEdmond, OK 73013
CS 4570	Special Topics in Computing	Kaiya Deaton, Baby	A649010	bkdeaton@okstate.edu	7977 S. Walnutwood CourtOklahoma City, OK 73122
CS 3513	Numerical Methods for Digital Computers	Jamil Parry, Stephan	A433521	sjparry@okstate.edu	9001 East LaneOklahoma City, OK 73179
CS 4273	Software Engineering	Deshawn Wells, Allan	A711060	adwells@okstate.edu	1 Lakeshore St.Edmond, OK 73003
CS 3030	Industrial Practice in Computer Science	Barnard, Zoey	A961036	zbarnard@okstate.edu	7896 South Beaver Ridge StreetLuther, OK 73054
CS 4243	Introduction to Computer Security	Thao, Kobi	A369888	kthao@okstate.edu	317 Lakewood Rd.Oklahoma City, OK 73173
CS 3513	Numerical Methods for Digital Computers	Derosa, Alexzander	A784760	aderosa@okstate.edu	8602 Academy StreetOklahoma City, OK 73107
CS 3030	Industrial Practice in Computer Science	Zion Steffen, Paul	A590174	pzsteffen@okstate.edu	18 Colonial Ave.Oklahoma City, OK 73102
MATH 2163	Calculus III	Zackary Trinidad, Devan	A543675	dztrinidad@okstate.edu	7665 E. Bowman Dr.Oklahoma City, OK 73128
CS 4433	Introduction to Database Systems	Richard, Tevin	A462579	trichard@okstate.edu	68 Oak Ave.Oklahoma City, OK 73169
CS 4183	Video Game Design	Shannon Rowland, Jonathon	A677502	jsrowland@okstate.edu	227 Airport Ave.Oklahoma City, OK 73103
CS 4153	Mobile Applications Development	Noemi Combs, Jaycie	A213172	jncombs@okstate.edu	8878 Walnutwood DriveHarrah, OK 73045
MATH 3013	Linear Algebra (A)	McGraw, Destiny	A550996	dmcgraw@okstate.edu	7762 Harvard StreetOklahoma City, OK 73135
CS 3570	Special Problems in Computer Science	Rahul Chamberlain, Christian	A985893	crchamberlain@okstate.edu	236 Canal StreetOklahoma City, OK 73159
CS 4983	Senior Capstone Project	Nugent, Connor	A846902	cnugent@okstate.edu	81 Ashley RoadOklahoma City, OK 73110
CS 3363	Organization of Programming Languages	Dejuan Ivy, Jameson	A451207	jdivy@okstate.edu	14 W. Arnold CourtOklahoma City, OK 73116
CS 4323	Design and Implementation of Operating Systems I	Mena, Emily	A283341	emena@okstate.edu	7906 Woodside St.Oklahoma City, OK 73119
CS 3353	Data Structures and Algorithm Analysis I	Sierra, Sabina	A618355	ssierra@okstate.edu	8191 Durham DriveOklahoma City, OK 73115
CS 4273	Software Engineering	Gunner Stoll, Seth	A871523	sgstoll@okstate.edu	9931 Garden Ave.Oklahoma City, OK 73145
CS 4570	Special Topics in Computing	Rust, Jadah	A265855	jrust@okstate.edu	33 Wakehurst LaneOklahoma City, OK 73162
CS 4743	Extended Reality	Sander, Milton	A471189	msander@okstate.edu	342 County Ave.Oklahoma City, OK 73120
CS 3513	Numerical Methods for Digital Computers	Kiya Robb, Katelynn	A302128	kkrobb@okstate.edu	17 Golf StreetOklahoma City, OK 73117
CS 4783	Machine Learning	Tess Tafoya, Yvette	A581670	yttafoya@okstate.edu	842 Cherry St.Oklahoma City, OK 73106
CS 4743	Extended Reality	Raul Lindberg, Benjamin	A239072	brlindberg@okstate.edu	71 Lakeshore StreetEdmond, OK 73012
CS 4883	Social Issues in Computing	Devontae Marcum, Estevan	A652227	edmarcum@okstate.edu	601 Ashley Ave.Oklahoma City, OK 73151
CS 3030	Industrial Practice in Computer Science	Nehemiah Vaught, Harley	A395426	hnvaught@okstate.edu	643 River StreetBethany, OK 73008
CS 3613	Theoretical Foundations of Computing	Mercer, Obed	A548777	omercer@okstate.edu	9459 Evergreen St.Oklahoma City, OK 73129
CS 4153	Mobile Applications Development	Cochran, Joanna	A763014	jcochran@okstate.edu	8 White Ave.Choctaw, OK 73020
MATH 3013	Linear Algebra (A)	Logan Polanco, Henry	A106675	hlpolanco@okstate.edu	9761 Lakeshore CourtOklahoma City, OK 73108
CS 4173	Video Game Development	Aliya Bynum, Lyndsey	A526587	labynum@okstate.edu	7964 Harrison StreetOklahoma City, OK 73104
CS 4273	Software Engineering	Khalid Marrero, Ross	A942962	rkmarrero@okstate.edu	7562 Hilldale DriveOklahoma City, OK 73127
CS 4883	Social Issues in Computing	Chassidy Holton, Lara	A912871	lcholton@okstate.edu	7747 Wrangler StreetOklahoma City, OK 73149
CS 4743	Extended Reality	Piper Wiley, Makaylah	A429059	mpwiley@okstate.edu	329 Delaware CourtOklahoma City, OK 73141
CS 4513	Introduction to Numerical Analysis	Vickers, Jocelyne	A514642	jvickers@okstate.edu	682 Cherry RoadOklahoma City, OK 73112
CS 4243	Introduction to Computer Security	Thomas Hardy, Braxton	A454692	bthardy@okstate.edu	25 Saxton St.Oklahoma City, OK 73105
CS 3613	Theoretical Foundations of Computing	Pitts, Callie	A765203	cpitts@okstate.edu	592 Carpenter StreetOklahoma City, OK 73150
CS 4523	Cloud Computing and Distributed Systems	Reynolds, Miya	A156297	mreynolds@okstate.edu	101 Courtland Ave.Oklahoma City, OK 73109
CS 4323	Design and Implementation of Operating Systems I	Augustine Person, Austen	A633737	aaperson@okstate.edu	7624 Fremont RoadOklahoma City, OK 73132
CS 3030	Industrial Practice in Computer Science	Barry Kruger, Marvin	A918790	mbkruger@okstate.edu	40 Rockaway Ave.Oklahoma City, OK 73134
CS 4523	Cloud Computing and Distributed Systems	Janell Hutchison, Paulina	A437795	pjhutchison@okstate.edu	27 Sugar CourtOklahoma City, OK 73142
CS 4243	Introduction to Computer Security	Kiarra Covington, Libby	A871785	lkcovington@okstate.edu	8301 Fairway Dr.Edmond, OK 73025
CS 3570	Special Problems in Computer Science	Tayler Salcido, Kaylen	A572326	ktsalcido@okstate.edu	540 Madison StreetEdmond, OK 73034
CS 4283	Computer Networks	Binder, Yesenia	A196642	ybinder@okstate.edu	9474 West Heritage Rd.Oklahoma City, OK 73139
CS 4243	Introduction to Computer Security	Gordon Carbajal, Miguelangel	A279213	mgcarbajal@okstate.edu	264 Gulf DriveJones, OK 73049
CS 4513	Introduction to Numerical Analysis	Chaz Bandy, Cristofer	A573535	ccbandy@okstate.edu	45 Prospect Dr.Spencer, OK 73084
CS 4153	Mobile Applications Development	Yehuda Runyon, Johnathon	A251263	jyrunyon@okstate.edu	273 Homewood Ave.Oklahoma City, OK 73131
CS 3653	Discrete Mathematics for Computer Science	Janie Paredes, Kalli	A533722	kjparedes@okstate.edu	9084 Manchester AvenueOklahoma City, OK 73121
CS 4183	Video Game Design	Quarles, Joselin	A809445	jquarles@okstate.edu	43 North Valley View CourtOklahoma City, OK 73114
CS 2433	C/C++ Programming	Switzer, Rachel	A665533	rswitzer@okstate.edu	9027 West Fairview DriveArcadia, OK 73007
CS 4523	Cloud Computing and Distributed Systems	Nikhil Sadler, Marquis	A778766	mnsadler@okstate.edu	655 South Homestead St.Oklahoma City, OK 73111
CS 4570	Special Topics in Computing	Federico Mims, Vincenzo	A517984	vfmims@okstate.edu	58 North Elm AvenueOklahoma City, OK 73141
CS 4173	Video Game Development	Brigid Shumaker, Jocelyn	A143573	jbshumaker@okstate.edu	905 Del Monte Rd.Oklahoma City, OK 73131
CS 4743	Extended Reality	Earl, Leanna	A606402	learl@okstate.edu	95 Fairground Dr.Oklahoma City, OK 73130
CS 3030	Industrial Practice in Computer Science	Boswell, Jesus	A659311	jboswell@okstate.edu	530 Berkshire Ave.Oklahoma City, OK 73150
MATH 3013	Linear Algebra (A)	Humphrey, Christie	A333593	chumphrey@okstate.edu	110 Sleepy Hollow Ave.Edmond, OK 73012
CS 4523	Cloud Computing and Distributed Systems	Thatcher, Gabriel	A128150	gthatcher@okstate.edu	4 Holly Dr.Oklahoma City, OK 73173
MATH 2163	Calculus III	Rock, Karina	A734702	krock@okstate.edu	410 Sutor St.Oklahoma City, OK 73129
CS 4993	Senior Honors Project	Macey Dudley, Susan	A263106	smdudley@okstate.edu	9485 Piper Dr.Choctaw, OK 73020
CS 3353	Data Structures and Algorithm Analysis I	Jadon Navarrete, Andy	A852471	ajnavarrete@okstate.edu	415 E. Swanson Rd.Oklahoma City, OK 73134
CS 4143	Computer Graphics	Mondragon, Tori	A758417	tmondragon@okstate.edu	548 Temple DriveOklahoma City, OK 73117
MATH 3013	Linear Algebra (A)	Fry, Armani	A686711	afry@okstate.edu	286 Joy Ridge St.Oklahoma City, OK 73179
CS 3513	Numerical Methods for Digital Computers	Barron, Daniel	A760940	dbarron@okstate.edu	192 Golf StreetOklahoma City, OK 73145
CS 4153	Mobile Applications Development	Melanie Starr, Jaci	A329463	jmstarr@okstate.edu	473 Green StreetOklahoma City, OK 73169
CS 4243	Introduction to Computer Security	Julien Haugen, Galen	A336016	gjhaugen@okstate.edu	14 Goldfield Dr.Edmond, OK 73013
CS 2433	C/C++ Programming	Jefferson Guerrero, Donnie	A722812	djguerrero@okstate.edu	466 Euclid St.Luther, OK 73054
CS 4743	Extended Reality	Fuentes, Chad	A665317	cfuentes@okstate.edu	9029 Marshall St.Spencer, OK 73084
CS 4373	Agile Software Development	Rourke, Jennah	A861994	jrourke@okstate.edu	18 Wayne StreetOklahoma City, OK 73142
CS 4570	Special Topics in Computing	Milner, Skye	A133484	smilner@okstate.edu	291 La Sierra Dr.Oklahoma City, OK 73149
CS 3653	Discrete Mathematics for Computer Science	Presley Glick, Dominique	A352334	dpglick@okstate.edu	8249 North New Saddle AvenueOklahoma City, OK 73111
CS 4883	Social Issues in Computing	Crouse, Broderick	A131593	bcrouse@okstate.edu	7805 Canterbury St.Arcadia, OK 73007
CS 4243	Introduction to Computer Security	Phillip Gibbons, Kasey	A713242	kpgibbons@okstate.edu	9826 East School StreetEdmond, OK 73025
CS 4273	Software Engineering	Gaytan, Gilbert	A651008	ggaytan@okstate.edu	4 Broad AvenueOklahoma City, OK 73118
CS 4570	Special Topics in Computing	Becerra, Madeline	A122866	mbecerra@okstate.edu	185 Nicolls Ave.Oklahoma City, OK 73132
CS 4623	Introduction to Cyber Physical Systems	Jennah Halverson, Lily	A953381	ljhalverson@okstate.edu	72 Lake DriveEdmond, OK 73034
CS 3613	Theoretical Foundations of Computing	Gisselle Brinson, Kailee	A411903	kgbrinson@okstate.edu	81 North Bay Dr.Jones, OK 73049
CS 3570	Special Problems in Computer Science	Alisa Gooch, Julisa	A788234	jagooch@okstate.edu	9163 Sulphur Springs St.Oklahoma City, OK 73110
CS 4743	Extended Reality	Marsh, Humberto	A507431	hmarsh@okstate.edu	9600 Proctor RoadOklahoma City, OK 73122
CS 3653	Discrete Mathematics for Computer Science	Szymanski, Jabari	A553340	jszymanski@okstate.edu	47 Old Windsor DriveOklahoma City, OK 73128
MATH 2163	Calculus III	Floyd McIntyre, Austyn	A122674	afmcintyre@okstate.edu	300 West Taylor LaneOklahoma City, OK 73127
CS 4623	Introduction to Cyber Physical Systems	Kavon Goldsmith, Jonathon	A209315	jkgoldsmith@okstate.edu	47 Smith Ave.Oklahoma City, OK 73162
CS 2433	C/C++ Programming	Strickland, Odalys	A190789	ostrickland@okstate.edu	7063 SW. Fairfield St.Oklahoma City, OK 73151
CS 4883	Social Issues in Computing	Beckwith, Yazmine	A858127	ybeckwith@okstate.edu	174 Market DriveOklahoma City, OK 73135
MATH 2163	Calculus III	Angelica Shepard, Farrah	A270075	fashepard@okstate.edu	238 Gregory Rd.Bethany, OK 73008
CS 4783	Machine Learning	Dejah Oh, Fallon	A723455	fdoh@okstate.edu	272 Sheffield StreetHarrah, OK 73045
CS 4743	Extended Reality	Bello, Caleb	A522606	cbello@okstate.edu	52 N. Oak Meadow St.Oklahoma City, OK 73159
CS 4883	Social Issues in Computing	Brant Perea, Dominic	A578118	dbperea@okstate.edu	7499 South Gulf Ave.Oklahoma City, OK 73107
CS 3363	Organization of Programming Languages	Caleigh Farr, Reina	A294859	rcfarr@okstate.edu	426 Glendale St.Oklahoma City, OK 73120
CS 4783	Machine Learning	Hannah Isbell, Savana	A548808	shisbell@okstate.edu	9487 Grant RoadOklahoma City, OK 73109
CS 4433	Introduction to Database Systems	Mariela Landers, Amya	A711011	amlanders@okstate.edu	7524 High Ave.Oklahoma City, OK 73103
MATH 2163	Calculus III	Bilal Pemberton, Keshawn	A827895	kbpemberton@okstate.edu	1 Trenton Rd.Oklahoma City, OK 73105
CS 3030	Industrial Practice in Computer Science	Daisy Shank, Courtney	A791398	cdshank@okstate.edu	933 Bedford StreetEdmond, OK 73003
CS 4143	Computer Graphics	Dent, Sequoia	A656490	sdent@okstate.edu	9390 Main Rd.Oklahoma City, OK 73104
CS 3353	Data Structures and Algorithm Analysis I	Nakia Williamson, Makenzi	A241278	mnwilliamson@okstate.edu	8184 Thorne StreetOklahoma City, OK 73102
CS 4373	Agile Software Development	Kalvin Lilly, Kian	A852955	kklilly@okstate.edu	136 Lake View St.Oklahoma City, OK 73108
CS 4183	Video Game Design	Fallon, Tai	A895266	tfallon@okstate.edu	35 Henry Dr.Oklahoma City, OK 73106
CS 4283	Computer Networks	DeJesus, Julian	A833445	jdejesus@okstate.edu	1 Wild Horse StreetOklahoma City, OK 73121
CS 4523	Cloud Computing and Distributed Systems	Bruno Wagner, Arnold	A599030	abwagner@okstate.edu	937 Ramblewood LaneOklahoma City, OK 73114
CS 4513	Introduction to Numerical Analysis	Abigail Turpin, Lynn	A864387	laturpin@okstate.edu	9124 Queen St.Oklahoma City, OK 73139
CS 3443	Computer Systems	Hector Clifton, Caelan	A610386	chclifton@okstate.edu	80 Redwood Ave.Oklahoma City, OK 73115
CS 3570	Special Problems in Computer Science	Bradly Acosta, Jonatan	A619105	jbacosta@okstate.edu	874 Laurel StreetOklahoma City, OK 73116
CS 4513	Introduction to Numerical Analysis	Chasity Smallwood, Chastity	A913274	ccsmallwood@okstate.edu	9054 SE. Coffee StreetOklahoma City, OK 73112
CS 4513	Introduction to Numerical Analysis	Amaiya Bohn, Aiyana	A650882	aabohn@okstate.edu	901 Division Dr.Oklahoma City, OK 73118
MATH 2163	Calculus III	Anisha Reich, Allysa	A321364	aareich@okstate.edu	18 Nicolls St.Oklahoma City, OK 73112
CS 4183	Video Game Design	Alfred Beal, Zachariah	A711355	zabeal@okstate.edu	36 Lilac Ave.Oklahoma City, OK 73115
CS 4153	Mobile Applications Development	Rhiannon Ayers, Jesse	A528872	jrayers@okstate.edu	337 Princeton Ave.Oklahoma City, OK 73159
CS 4273	Software Engineering	Pritchett, Ryland	A357572	rpritchett@okstate.edu	691 Laurel StreetEdmond, OK 73034
CS 4373	Agile Software Development	Sanders, Tyra	A335703	tsanders@okstate.edu	195 Heather DriveChoctaw, OK 73020
CS 4623	Introduction to Cyber Physical Systems	Katelynn Hills, Wendy	A297850	wkhills@okstate.edu	8705 Lilac Ave.Oklahoma City, OK 73127
CS 4323	Design and Implementation of Operating Systems I	Polanco, Malcolm	A578231	mpolanco@okstate.edu	59 Hawthorne St.Edmond, OK 73012
CS 4523	Cloud Computing and Distributed Systems	McCarter, Benton	A849489	bmccarter@okstate.edu	168 Evergreen Dr.Oklahoma City, OK 73114
CS 3513	Numerical Methods for Digital Computers	Swope, Michael	A985472	mswope@okstate.edu	9 Hanover AvenueOklahoma City, OK 73162
CS 4523	Cloud Computing and Distributed Systems	Byrd, Paris	A798405	pbyrd@okstate.edu	9101 Center St.Oklahoma City, OK 73130
MATH 2163	Calculus III	Jensen, Kyndal	A672960	kjensen@okstate.edu	6 Fieldstone AvenueOklahoma City, OK 73121
CS 4523	Cloud Computing and Distributed Systems	Rosa Woodall, Nikita	A504337	nrwoodall@okstate.edu	825 Shore St.Edmond, OK 73003
CS 3030	Industrial Practice in Computer Science	Darin Barr, Jamel	A144120	jdbarr@okstate.edu	290 Summit Dr.Jones, OK 73049
CS 4783	Machine Learning	Ethan Velasco, Tristian	A698611	tevelasco@okstate.edu	1 Galvin St.Bethany, OK 73008
CS 4153	Mobile Applications Development	Singletary, Georgia	A397859	gsingletary@okstate.edu	8711 Belmont RoadOklahoma City, OK 73129
CS 3030	Industrial Practice in Computer Science	Handy, Chelsea	A687220	chandy@okstate.edu	288 Shipley St.Spencer, OK 73084
CS 4883	Social Issues in Computing	Cottrell, Annmarie	A435419	acottrell@okstate.edu	565 S. Oakwood Ave.Oklahoma City, OK 73102
MATH 3013	Linear Algebra (A)	Paloma Bryson, Abrianna	A290943	apbryson@okstate.edu	2 Manchester StreetOklahoma City, OK 73117
CS 4143	Computer Graphics	Brittain, Corey	A777630	cbrittain@okstate.edu	52 York DriveOklahoma City, OK 73131
CS 4183	Video Game Design	Hays, Treyvon	A130998	thays@okstate.edu	508 King Dr.Oklahoma City, OK 73141
CS 4523	Cloud Computing and Distributed Systems	Christion Tolliver, Tyreese	A270099	tctolliver@okstate.edu	20 Studebaker StreetOklahoma City, OK 73116
CS 3570	Special Problems in Computer Science	Candice Locke, Nicolette	A412869	nclocke@okstate.edu	446 North Thatcher CourtOklahoma City, OK 73106
CS 4983	Senior Capstone Project	Caruso, Wyatt	A746728	wcaruso@okstate.edu	283 Howard St.Oklahoma City, OK 73122
CS 4743	Extended Reality	Brett Avery, Slade	A213403	sbavery@okstate.edu	83 Country Club StreetEdmond, OK 73013
CS 4523	Cloud Computing and Distributed Systems	Shaylee Gantt, Kailee	A789101	ksgantt@okstate.edu	9126 Evergreen Ave.Luther, OK 73054
CS 4173	Video Game Development	Johnnie Hawthorne, Tai	A907144	tjhawthorne@okstate.edu	33 Vale CourtOklahoma City, OK 73179
CS 3613	Theoretical Foundations of Computing	Thai, Zaire	A275529	zthai@okstate.edu	95 Harvard St.Oklahoma City, OK 73103
CS 4570	Special Topics in Computing	Skaggs, Raheem	A696689	rskaggs@okstate.edu	9053 S. Trout St.Oklahoma City, OK 73142
CS 2433	C/C++ Programming	Jeter, Barrett	A267242	bjeter@okstate.edu	9249 Meadowbrook LaneOklahoma City, OK 73173
CS 4373	Agile Software Development	Alec Lake, Emmanuel	A900970	ealake@okstate.edu	9160 Evergreen Ave.Edmond, OK 73025
CS 3363	Organization of Programming Languages	Valle, Treyton	A253264	tvalle@okstate.edu	36 Brookside CircleOklahoma City, OK 73150
CS 4143	Computer Graphics	Harry, Jadyn	A203363	jharry@okstate.edu	7827 Williams DriveOklahoma City, OK 73149
CS 3570	Special Problems in Computer Science	Murrell, Arden	A314656	amurrell@okstate.edu	617 Heritage Ave.Oklahoma City, OK 73107
CS 4153	Mobile Applications Development	Carmona, Long	A430766	lcarmona@okstate.edu	792 Arlington Ave.Harrah, OK 73045
CS 4273	Software Engineering	Pagano, Zion	A634051	zpagano@okstate.edu	7752 Grant Rd.Oklahoma City, OK 73128
CS 3030	Industrial Practice in Computer Science	Yamileth Yost, Keira	A187603	kyyost@okstate.edu	828 Overlook DriveOklahoma City, OK 73109
CS 4513	Introduction to Numerical Analysis	Charity Reinhardt, Denisse	A266581	dcreinhardt@okstate.edu	7241 San Juan Rd.Oklahoma City, OK 73108
CS 2433	C/C++ Programming	Deloach, Jerome	A173879	jdeloach@okstate.edu	869 Hickory Dr.Oklahoma City, OK 73139
CS 2433	C/C++ Programming	Olvera, Michelle	A269865	molvera@okstate.edu	202 Ohio StreetOklahoma City, OK 73120
MATH 3013	Linear Algebra (A)	Nielson, Doris	A905277	dnielson@okstate.edu	68 Heritage Rd.Oklahoma City, OK 73169
CS 4883	Social Issues in Computing	Devante Collins, Sydney	A766960	sdcollins@okstate.edu	7620 Gates St.Oklahoma City, OK 73132
CS 4283	Computer Networks	Coburn, Ivory	A216289	icoburn@okstate.edu	74 Brandywine St.Oklahoma City, OK 73110
CS 4183	Video Game Design	Victor, Janine	A211184	jvictor@okstate.edu	7537 North Cedarwood St.Oklahoma City, OK 73134
CS 3653	Discrete Mathematics for Computer Science	Clement, Lynette	A413273	lclement@okstate.edu	7947 West Hawthorne StreetOklahoma City, OK 73119
CS 3613	Theoretical Foundations of Computing	Whitley Stafford, Briza	A553241	bwstafford@okstate.edu	9593 East 4th DriveOklahoma City, OK 73151
CS 4323	Design and Implementation of Operating Systems I	Kurtis Durbin, Kevin	A462469	kkdurbin@okstate.edu	217 West Marshall DriveArcadia, OK 73007
